,name,Overall,AVG,Std.Dev,High,Low
0,SAQUON BARKLEY,1.5,1.0,0.7,1.0,1.4000000000000004
1,ALVIN KAMARA,2.4,2.3,0.8,1.0,1.5300000000000005
2,CHRISTIAN MCCAFFREY,2.5,2.7,0.9,1.0,1.5300000000000005
3,EZEKIEL ELLIOTT,4.5,4.0,1.4,1.0,2.3100000000000014
4,DAVID JOHNSON,5.2,6.0,1.3,1.2600000000000002,2.3100000000000014
5,DEANDRE HOPKINS,6.0,5.7,1.8,1.0,2.4400000000000013
6,LE'VEON BELL,7.3,6.7,2.3,1.0,14.529999999999998
7,DAVANTE ADAMS,7.9,8.7,2.0,1.0,14.14
8,NICK CHUBB,8.5,14.0,2.3,1.1300000000000001,14.529999999999998
9,JAMES CONNER,9.8,9.3,2.2,1.3900000000000003,14.529999999999998
10,TODD GURLEY,11.1,12.0,2.9,1.1300000000000001,15.180000000000001
11,JULIO JONES,11.4,12.7,2.3,1.5200000000000005,14.79
12,MICHAEL THOMAS,12.9,12.0,2.5,1.5200000000000005,14.79
13,TYREEK HILL,14.2,16.0,2.6,1.3900000000000003,15.049999999999997
14,JOE MIXON,15.1,13.7,2.8,1.9100000000000008,15.309999999999999
15,ODELL BECKHAM,15.1,15.3,2.9,1.5200000000000005,15.180000000000001
16,DALVIN COOK,16.3,19.0,2.8,1.9100000000000008,27.009999999999998
17,JUJU SMITH-SCHUSTER,17.9,17.3,2.6,2.040000000000001,15.309999999999999
18,TRAVIS KELCE,17.9,17.0,3.7,1.0,27.53
19,PATRICK MAHOMES,18.7,14.7,6.3,1.0,28.309999999999995
20,MIKE EVANS,20.4,21.3,2.3,2.4300000000000015,27.92
21,DAMIEN WILLIAMS,21.4,27.0,3.5,2.040000000000001,27.789999999999996
22,ANTONIO BROWN,23.0,22.7,2.9,14.259999999999998,28.18
23,LEONARD FOURNETTE,23.1,24.0,3.7,2.1700000000000013,28.309999999999995
24,MELVIN GORDON,24.9,27.0,4.6,1.5200000000000005,28.18
25,KERRYON JOHNSON,25.0,27.3,3.9,13.999999999999996,28.440000000000005
26,KEENAN ALLEN,27.3,26.0,3.7,14.650000000000002,40.01
27,AARON JONES,28.4,29.7,3.6,2.4300000000000015,40.14
28,MARLON MACK,28.5,32.3,4.4,14.13,41.31
29,DEVONTA FREEMAN,29.6,34.0,3.7,14.389999999999999,40.27000000000001
30,ADAM THIELEN,29.7,27.0,4.4,14.78,40.790000000000006
31,T.Y. HILTON,31.1,30.0,4.5,15.039999999999997,40.66
32,JOSH JACOBS,31.2,35.7,3.9,14.13,40.53
33,DAVID MONTGOMERY,32.7,43.7,4.2,14.78,40.790000000000006
34,CHRIS CARSON,34.1,39.0,3.8,14.389999999999999,41.05
35,DERRICK HENRY,34.5,38.3,5.0,14.650000000000002,41.440000000000005
36,GEORGE KITTLE,34.9,31.3,5.4,14.650000000000002,41.18
37,AMARI COOPER,36.3,35.0,4.6,15.299999999999999,41.440000000000005
38,STEFON DIGGS,38.7,37.0,4.0,26.999999999999996,53.14
39,MARK INGRAM,39.7,44.7,4.0,27.129999999999995,53.53
40,ZACH ERTZ,40.4,32.0,5.2,15.430000000000001,53.27000000000001
41,BRANDIN COOKS,41.3,40.3,4.1,15.299999999999999,53.53
42,SONY MICHEL,42.6,50.7,4.4,27.259999999999994,54.18
43,ROBERT WOODS,43.5,41.3,4.1,26.999999999999996,53.790000000000006
44,JULIAN EDELMAN,44.9,44.0,4.2,26.999999999999996,54.05
45,PHILLIP LINDSAY,46.2,50.0,5.5,27.779999999999994,54.440000000000005
46,CHRIS GODWIN,46.4,48.0,3.8,27.52,54.31
47,DESHAUN WATSON,48.3,45.0,7.6,1.0,66.79
48,KENNY GOLLADAY,48.4,45.7,3.9,28.430000000000003,54.31
49,TEVIN COLEMAN,48.7,55.7,5.7,27.259999999999994,66.27000000000001
50,TYLER LOCKETT,49.9,51.0,3.9,40.65,66.14
51,A.J. GREEN,52.2,50.3,4.7,40.0,66.53
52,COOPER KUPP,53.1,49.0,4.4,40.0,67.17999999999999
53,CALVIN RIDLEY,53.7,52.7,4.6,40.26000000000001,67.31
54,MIKE WILLIAMS,55.3,61.0,4.9,40.0,67.05
55,AARON RODGERS,55.3,49.7,6.2,26.999999999999996,66.92
56,O.J. HOWARD,55.8,55.7,5.8,40.26000000000001,67.44000000000001
57,LAMAR MILLER,56.8,64.0,5.0,40.39,79.14
58,MILES SANDERS,58.3,70.0,5.9,28.430000000000003,79.53
59,TYLER BOYD,59.1,56.0,4.4,41.43000000000001,79.14
