"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","1","","Alvin Kamara","NO","RB1","9","1","2","1.5","0.5","2.0","+1.0"
"2","1","","Saquon Barkley","NYG","RB2","11","1","3","2.0","1.0","1.0","-1.0"
"3","1","","Christian McCaffrey","CAR","RB3","7","2","3","2.5","0.5","3.0","0.0"
"4","1","","Ezekiel Elliott","DAL","RB4","8","4","4","4.0","0.0","4.0","0.0"
"5","2","","DeAndre Hopkins","HOU","WR1","10","6","6","6.0","0.0","5.0","0.0"
"6","2","","Davante Adams","GB","WR2","11","5","8","6.5","1.5","8.0","+2.0"
"7","2","","David Johnson","ARI","RB5","12","5","8","6.5","1.5","6.0","-1.0"
"8","2","","Julio Jones","ATL","WR3","9","10","10","10.0","0.0","12.0","+4.0"
"9","2","","James Conner","PIT","RB6","7","9","12","10.5","1.5","9.0","0.0"
"10","2","","Travis Kelce","KC","TE1","12","7","17","12.0","5.0","19.0","+9.0"
"11","3","","Nick Chubb","CLE","RB7","7","7","20","13.5","6.5","15.0","+4.0"
"12","3","","Le'Veon Bell","NYJ","RB8","4","11","16","13.5","2.5","7.0","-5.0"
"13","3","","Odell Beckham Jr.","CLE","WR4","7","13","14","13.5","0.5","14.0","+1.0"
"14","3","","Joe Mixon","CIN","RB9","9","15","15","15.0","0.0","13.0","-1.0"
"15","3","","JuJu Smith-Schuster","PIT","WR5","7","11","21","16.0","5.0","18.0","+3.0"
"16","3","","Michael Thomas","NO","WR6","9","14","18","16.0","2.0","10.0","-6.0"
"17","3","","Todd Gurley","LAR","RB10","9","16","21","18.5","2.5","11.0","-6.0"
"18","3","","Tyreek Hill","KC","WR7","12","12","27","19.5","7.5","17.0","-1.0"
"19","3","","Mike Evans","TB","WR8","7","19","22","20.5","1.5","21.0","+2.0"
"20","4","","Amari Cooper","DAL","WR9","8","17","26","21.5","4.5","34.0","+14.0"
"21","4","","Dalvin Cook","MIN","RB11","12","20","26","23.0","3.0","20.0","-1.0"
"22","4","","Keenan Allen","LAC","WR10","12","23","24","23.5","0.5","28.0","+6.0"
"23","4","","Kerryon Johnson","DET","RB12","5","19","33","26.0","7.0","27.0","+4.0"
"24","4","","Marlon Mack","IND","RB13","6","25","27","26.0","1.0","31.0","+7.0"
"25","4","","Antonio Brown","OAK","WR11","6","22","31","26.5","4.5","22.0","-3.0"
"26","4","","George Kittle","SF","TE2","4","25","28","26.5","1.5","32.0","+6.0"
"27","4","","Damien Williams","KC","RB14","12","9","51","30.0","21.0","25.0","-2.0"
"28","4","","T.Y. Hilton","IND","WR12","6","29","32","30.5","1.5","29.0","+1.0"
"29","4","","Leonard Fournette","JAC","RB15","10","18","44","31.0","13.0","24.0","-5.0"
"30","5","","Melvin Gordon","LAC","RB16","12","13","50","31.5","18.5","23.0","-7.0"
"31","5","","Devonta Freeman","ATL","RB17","9","28","38","33.0","5.0","35.0","+4.0"
"32","5","","Brandin Cooks","LAR","WR13","9","33","34","33.5","0.5","39.0","+7.0"
"33","5","","O.J. Howard","TB","TE3","7","23","45","34.0","11.0","56.0","+23.0"
"34","5","","Adam Thielen","MIN","WR14","12","30","38","34.0","4.0","26.0","-8.0"
"35","5","","Patrick Mahomes","KC","QB1","12","35","35","35.0","0.0","16.0","-19.0"
"36","5","","Josh Jacobs","OAK","RB18","6","30","41","35.5","5.5","37.0","+1.0"
"37","5","","Stefon Diggs","MIN","WR15","12","34","37","35.5","1.5","38.0","+1.0"
"38","5","","Aaron Jones","GB","RB19","11","32","41","36.5","4.5","30.0","-8.0"
"39","5","","Julian Edelman","NE","WR16","10","37","39","38.0","1.0","44.0","+5.0"
"40","5","","Zach Ertz","PHI","TE4","10","24","53","38.5","14.5","33.0","-7.0"
"41","5","","Robert Woods","LAR","WR17","9","39","40","39.5","0.5","40.0","-1.0"
"42","5","","Tyler Lockett","SEA","WR18","11","36","48","42.0","6.0","53.0","+11.0"
"43","5","","Chris Carson","SEA","RB20","11","29","56","42.5","13.5","41.0","-2.0"
"44","5","","A.J. Green","CIN","WR19","9","31","54","42.5","11.5","48.0","+4.0"
"45","6","","Derrick Henry","TEN","RB21","11","36","52","44.0","8.0","36.0","-9.0"
"46","6","","Kenny Golladay","DET","WR20","5","42","46","44.0","2.0","45.0","-1.0"
"47","6","","Chris Godwin","TB","WR21","7","42","49","45.5","3.5","50.0","+3.0"
"48","6","","Cooper Kupp","LAR","WR22","9","45","47","46.0","1.0","49.0","+1.0"
"49","6","","Mark Ingram","BAL","RB22","8","40","55","47.5","7.5","46.0","-3.0"
"50","6","","David Montgomery","CHI","RB23","6","43","54","48.5","5.5","43.0","-7.0"
"51","6","","Sony Michel","NE","RB24","10","43","56","49.5","6.5","52.0","+1.0"
"52","6","","Kenyan Drake","MIA","RB25","5","46","57","51.5","5.5","55.0","+3.0"
"53","6","","Phillip Lindsay","DEN","RB26","10","51","53","52.0","1.0","42.0","-11.0"
"54","6","","Calvin Ridley","ATL","WR23","9","48","60","54.0","6.0","54.0","0.0"
"55","6","","D.J. Moore","CAR","WR24","7","52","61","56.5","4.5","66.0","+11.0"
"56","6","","Mike Williams","LAC","WR25","12","50","65","57.5","7.5","61.0","+5.0"
"57","6","","Aaron Rodgers","GB","QB2","11","57","58","57.5","0.5","51.0","-6.0"
"58","6","","Evan Engram","NYG","TE5","11","44","72","58.0","14.0","63.0","+5.0"
"59","6","","Tevin Coleman","SF","RB27","4","49","67","58.0","9.0","58.0","-1.0"
"60","6","","Deshaun Watson","HOU","QB3","10","58","59","58.5","0.5","47.0","-13.0"
"61","6","","Tyler Boyd","CIN","WR26","9","55","65","60.0","5.0","57.0","-4.0"
"62","6","","Robby Anderson","NYJ","WR27","4","60","62","61.0","1.0","74.0","+12.0"
"63","7","","Lamar Miller","HOU","RB28","10","61","68","64.5","3.5","60.0","-3.0"
"64","7","","Hunter Henry","LAC","TE6","12","62","68","65.0","3.0","70.0","+6.0"
"65","7","","Alshon Jeffery","PHI","WR28","10","59","75","67.0","8.0","69.0","+4.0"
"66","7","","Latavius Murray","NO","RB29","9","67","69","68.0","1.0","87.0","+21.0"
"67","7","","Will Fuller","HOU","WR29","10","63","75","69.0","6.0","75.0","+8.0"
"68","7","","Baker Mayfield","CLE","QB4","7","66","73","69.5","3.5","62.0","-6.0"
"69","7","","James White","NE","RB30","10","70","71","70.5","0.5","68.0","-1.0"
"70","7","","Allen Robinson","CHI","WR30","6","64","78","71.0","7.0","76.0","+6.0"
"71","7","","Rashaad Penny","SEA","RB31","11","72","82","77.0","5.0","77.0","+6.0"
"72","7","","Christian Kirk","ARI","WR31","12","66","89","77.5","11.5","79.0","+7.0"
"73","7","","Tarik Cohen","CHI","RB32","6","70","86","78.0","8.0","64.0","-9.0"
"74","7","","Jarvis Landry","CLE","WR32","7","74","83","78.5","4.5","67.0","-7.0"
"75","7","","Miles Sanders","PHI","RB33","10","74","83","78.5","4.5","73.0","-2.0"
"76","7","","Corey Davis","TEN","WR33","11","73","90","81.5","8.5","92.0","+16.0"
"77","7","","Dante Pettis","SF","WR34","4","79","84","81.5","2.5","80.0","+3.0"
"78","7","","Sterling Shepard","NYG","WR35","11","77","88","82.5","5.5","99.0","+21.0"
"79","7","","Marvin Jones","DET","WR36","5","78","89","83.5","5.5","88.0","+9.0"
"80","8","","Curtis Samuel","CAR","WR37","7","64","105","84.5","20.5","103.0","+23.0"
"81","8","","Dede Westbrook","JAC","WR38","10","76","93","84.5","8.5","102.0","+21.0"
"82","8","","Sammy Watkins","KC","WR39","12","82","87","84.5","2.5","85.0","+3.0"
"83","8","","Carson Wentz","PHI","QB5","10","84","85","84.5","0.5","84.0","+1.0"
"84","8","","Derrius Guice","WAS","RB34","10","76","94","85.0","9.0","65.0","-19.0"
"85","8","","Darrell Henderson","LAR","RB35","9","80","90","85.0","5.0","86.0","+1.0"
"86","8","","Matt Ryan","ATL","QB6","9","71","100","85.5","14.5","71.0","-15.0"
"87","8","","Cam Newton","CAR","QB7","7","79","94","86.5","7.5","93.0","+6.0"
"88","8","","Andrew Luck","IND","QB8","6","47","129","88.0","41.0","59.0","-29.0"
"89","8","","Jared Cook","NO","TE7","9","81","95","88.0","7.0","81.0","-8.0"
"90","8","","Royce Freeman","DEN","RB36","10","81","95","88.0","7.0","97.0","+7.0"
"91","8","","Jordan Howard","PHI","RB37","10","86","91","88.5","2.5","82.0","-9.0"
"92","8","","Drew Brees","NO","QB9","9","63","126","94.5","31.5","83.0","-9.0"
"93","8","","Austin Ekeler","LAC","RB38","12","69","127","98.0","29.0","78.0","-15.0"
"94","8","","Eric Ebron","IND","TE8","6","80","121","100.5","20.5","72.0","-22.0"
"95","8","","Ronald Jones II","TB","RB39","7","92","109","100.5","8.5","105.0","+10.0"
"96","8","","Russell Wilson","SEA","QB10","11","77","125","101.0","24.0","89.0","-7.0"
"97","8","","Geronimo Allison","GB","WR40","11","99","103","101.0","2.0","111.0","+14.0"
"98","8","","Courtland Sutton","DEN","WR41","10","96","109","102.5","6.5","101.0","+3.0"
"99","8","","Larry Fitzgerald","ARI","WR42","12","101","105","103.0","2.0","100.0","+1.0"
"100","8","","Jared Goff","LAR","QB11","9","92","117","104.5","12.5","91.0","-9.0"
"101","8","","Peyton Barber","TB","RB40","7","91","119","105.0","14.0","108.0","+7.0"
"102","8","","Vance McDonald","PIT","TE9","7","104","106","105.0","1.0","96.0","-6.0"
"103","8","","LeSean McCoy","BUF","RB41","6","104","110","107.0","3.0","104.0","+1.0"
"104","9","","Marquez Valdes-Scantling","GB","WR43","11","88","132","110.0","22.0","118.0","+14.0"
"105","9","","DeSean Jackson","PHI","WR44","10","107","113","110.0","3.0","132.0","+27.0"
"106","9","","Anthony Miller","CHI","WR45","6","98","125","111.5","13.5","131.0","+25.0"
"107","9","","Carlos Hyde","KC","RB42","12","87","137","112.0","25.0","115.0","+8.0"
"108","9","","Ben Roethlisberger","PIT","QB12","7","98","128","113.0","15.0","110.0","+2.0"
"109","9","","Kyler Murray","ARI","QB13","12","110","119","114.5","4.5","98.0","-11.0"
"110","9","","N'Keal Harry","NE","WR46","10","85","149","117.0","32.0","107.0","-3.0"
"111","9","","Matt Breida","SF","RB43","4","111","124","117.5","6.5","123.0","+12.0"
"112","9","","David Njoku","CLE","TE10","7","97","140","118.5","21.5","94.0","-18.0"
"113","9","","Golden Tate","NYG","WR47","11","99","139","119.0","20.0","129.0","+16.0"
"114","9","","Tyrell Williams","OAK","WR48","6","96","145","120.5","24.5","124.0","+10.0"
"115","9","","Delanie Walker","TEN","TE11","11","114","127","120.5","6.5","136.0","+21.0"
"116","9","","Lamar Jackson","BAL","QB14","8","120","121","120.5","0.5","121.0","+5.0"
"117","9","","Devin Funchess","IND","WR49","6","108","134","121.0","13.0","144.0","+27.0"
"118","9","","James Washington","PIT","WR50","7","111","133","122.0","11.0","114.0","-4.0"
"119","9","","Dion Lewis","TEN","RB44","11","114","133","123.5","9.5","133.0","+14.0"
"120","9","","Jameis Winston","TB","QB15","7","112","142","127.0","15.0","106.0","-14.0"
"121","9","","Kalen Ballage","MIA","RB45","5","93","162","127.5","34.5","120.0","-1.0"
"122","9","","Jaylen Samuels","PIT","RB46","7","102","153","127.5","25.5","143.0","+21.0"
"123","9","","Keke Coutee","HOU","WR51","10","108","148","128.0","20.0","125.0","+2.0"
"124","9","","John Brown","BUF","WR52","6","106","151","128.5","22.5","164.0","+40.0"
"125","9","","D.K. Metcalf","SEA","WR53","11","107","150","128.5","21.5","109.0","-16.0"
"126","9","","Emmanuel Sanders","DEN","WR54","10","122","135","128.5","6.5","112.0","-14.0"
"127","9","","Kareem Hunt","CLE","RB47","7","117","141","129.0","12.0","90.0","-37.0"
"128","9","","Damien Harris","NE","RB48","10","116","144","130.0","14.0","116.0","-12.0"
"129","9","","Duke Johnson","HOU","RB49","10","103","159","131.0","28.0","139.0","+10.0"
"130","9","","Donte Moncrief","PIT","WR55","7","97","166","131.5","34.5","152.0","+22.0"
"131","9","","Michael Gallup","DAL","WR56","8","128","138","133.0","5.0","161.0","+30.0"
"132","9","","Dak Prescott","DAL","QB16","8","100","171","135.5","35.5","138.0","+6.0"
"133","9","","Austin Hooper","ATL","TE12","9","120","153","136.5","16.5","127.0","-6.0"
"134","10","","Kenny Stills","MIA","WR57","5","131","146","138.5","7.5","178.0","+44.0"
"135","10","","Devin Singletary","BUF","RB50","6","122","156","139.0","17.0","135.0","0.0"
"136","10","","Nyheim Hines","IND","RB51","6","136","143","139.5","3.5","172.0","+36.0"
"137","10","","DaeSean Hamilton","DEN","WR58","10","130","154","142.0","12.0","196.0","+59.0"
"138","10","","Ito Smith","ATL","RB52","9","135","154","144.5","9.5","148.0","+10.0"
"139","10","","Justice Hill","BAL","RB53","8","123","167","145.0","22.0","160.0","+21.0"
"140","10","","Adrian Peterson","WAS","RB54","10","142","148","145.0","3.0","142.0","+2.0"
"141","10","","Jamison Crowder","NYJ","WR59","4","132","160","146.0","14.0","194.0","+53.0"
"142","10","","Chris Herndon IV","NYJ","TE13","4","131","165","148.0","17.0","202.0","+60.0"
"143","10","","Philip Rivers","LAC","QB17","12","115","182","148.5","33.5","119.0","-24.0"
"144","10","","Trey Burton","CHI","TE14","6","126","172","149.0","23.0","149.0","+5.0"
"145","10","","T.J. Hockenson","DET","TE15","5","138","163","150.5","12.5","128.0","-17.0"
"146","10","","Parris Campbell","IND","WR60","6","149","152","150.5","1.5","146.0","0.0"
"147","10","","Justin Jackson","LAC","RB55","12","101","279","190.0","89.0","168.0","+21.0"
"148","10","","Mark Andrews","BAL","TE16","8","118","185","151.5","33.5","153.0","+5.0"
"149","10","","Josh Allen","BUF","QB18","6","118","185","151.5","33.5","162.0","+13.0"
"150","10","","Mecole Hardman","KC","WR61","12","112","193","152.5","40.5","170.0","+20.0"
"151","10","","Tom Brady","NE","QB19","10","123","183","153.0","30.0","117.0","-34.0"
"152","10","","Jimmy Garoppolo","SF","QB20","4","143","164","153.5","10.5","141.0","-11.0"
"153","10","","Jordan Reed","WAS","TE17","10","137","171","154.0","17.0","159.0","+6.0"
"154","10","","Albert Wilson","MIA","WR62","5","134","176","155.0","21.0","223.0","+69.0"
