"","x"
"1","SAQUON BARKLEY"
"2","CHRISTIAN MCCAFFREY"
"3","ALVIN KAMARA"
"4","EZEKIEL ELLIOTT"
"5","DAVID JOHNSON"
"6","DEANDRE HOPKINS"
"7","DAVANTE ADAMS"
"8","JAMES CONNER"
"9","JULIO JONES"
"10","NICK CHUBB"
"11","TODD GURLEY"
"12","TRAVIS KELCE"
"13","JUJU SMITH-SCHUSTER"
"14","JOE MIXON"
"15","ODELL BECKHAM"
"16","DALVIN COOK"
"17","TYREEK HILL"
"18","LE'VEON BELL"
"19","MICHAEL THOMAS"
"20","MIKE EVANS"
"21","T.Y. HILTON"
"22","KERRYON JOHNSON"
"23","CHRIS CARSON"
"24","KEENAN ALLEN"
"25","ADAM THIELEN"
"26","GEORGE KITTLE"
"27","LEONARD FOURNETTE"
"28","MARLON MACK"
"29","DERRICK HENRY"
"30","DEVONTA FREEMAN"
"31","ROBERT WOODS"
"32","ANTONIO BROWN"
"33","SONY MICHEL"
"34","STEFON DIGGS"
"35","AMARI COOPER"
"36","MELVIN GORDON"
"37","PATRICK MAHOMES"
"38","BRANDIN COOKS"
"39","JULIAN EDELMAN"
"40","ZACH ERTZ"
"41","AARON JONES"
"42","DAMIEN WILLIAMS"
"43","MARK INGRAM"
"44","O.J. HOWARD"
"45","DAVID MONTGOMERY"
"46","PHILLIP LINDSAY"
"47","COOPER KUPP"
"48","KENNY GOLLADAY"
"49","TYLER LOCKETT"
"50","MIKE WILLIAMS"
"51","AARON RODGERS"
"52","JOSH JACOBS"
"53","CHRIS GODWIN"
"54","TEVIN COLEMAN"
"55","A.J. GREEN"
"56","DESHAUN WATSON"
"57","EVAN ENGRAM"
"58","HUNTER HENRY"
"59","LATAVIUS MURRAY"
"60","D.J. MOORE"
"61","TYLER BOYD"
"62","JAMES WHITE"
"63","ROBBY ANDERSON"
"64","CALVIN RIDLEY"
"65","LAMAR MILLER"
"66","ALSHON JEFFERY"
"67","KENYAN DRAKE"
"68","RASHAAD PENNY"
"69","AUSTIN EKELER"
"70","BAKER MAYFIELD"
"71","TARIK COHEN"
"72","ALLEN ROBINSON"
"73","DANTE PETTIS"
"74","CAM NEWTON"
"75","SAMMY WATKINS"
"76","MARVIN JONES"
"77","JARVIS LANDRY"
"78","CURTIS SAMUEL"
"79","JORDAN HOWARD"
"80","WILL FULLER"
"81","CARSON WENTZ"
"82","MATT RYAN"
"83","DERRIUS GUICE"
"84","ROYCE FREEMAN"
"85","RUSSELL WILSON"
"86","DEDE WESTBROOK"
"87","ANDREW LUCK"
"88","MILES SANDERS"
"89","CHRISTIAN KIRK"
"90","ERIC EBRON"
"91","COREY DAVIS"
"92","JARED GOFF"
"93","MARQUEZ VALDES-SCANTLING"
"94","VANCE MCDONALD"
"95","JARED COOK"
"96","LESEAN MCCOY"
"97","PEYTON BARBER"
"98","STERLING SHEPARD"
"99","GERONIMO ALLISON"
"100","LARRY FITZGERALD"
"101","DARRELL HENDERSON"
"102","DAVID NJOKU"
"103","COURTLAND SUTTON"
"104","KALEN BALLAGE"
"105","DONTE MONCRIEF"
"106","DREW BREES"
"107","MATT BREIDA"
"108","JAMEIS WINSTON"
"109","ANTHONY MILLER"
"110","LAMAR JACKSON"
"111","KYLER MURRAY"
"112","ADRIAN PETERSON"
"113","RONALD JONES"
"114","BEN ROETHLISBERGER"
"115","DESEAN JACKSON"
"116","EMMANUEL SANDERS"
"117","JOSH ALLEN"
"118","DION LEWIS"
"119","DEVIN SINGLETARY"
"120","ITO SMITH"
"121","JOHN BROWN"
"122","GOLDEN TATE"
"123","TREY BURTON"
"124","KEKE COUTEE"
"125","PHILIP RIVERS"
"126","CARLOS HYDE"
"127","JAMES WASHINGTON"
"128","JAYLEN SAMUELS"
"129","DAMIEN HARRIS"
"130","JUSTIN JACKSON"
"131","DEVIN FUNCHESS"
"132","N'KEAL HARRY"
"133","MICHAEL GALLUP"
"134","MARK ANDREWS"
"135","DAK PRESCOTT"
"136","TOM BRADY"
"137","DELANIE WALKER"
"138","DUKE JOHNSON"
"139","KENNY STILLS"
"140","D.K. METCALF"
"141","TRE'QUAN SMITH"
"142","TYRELL WILLIAMS"
"143","JIMMY GAROPPOLO"
"144","JAMISON CROWDER"
"145","MATTHEW STAFFORD"
"146","C.J. ANDERSON"
"147","JIMMY GRAHAM"
"148","NYHEIM HINES"
"149","KIRK COUSINS"
