"","last_name","first_name","pos","id","points","rank","pos_rank","sd_pts","avg_type","name"
"1","Bills","Buffalo","DST","0501",108.4095,114,11,15.834168,"robust","BUFFALO"
"2","Colts","Indianapolis","DST","0502",108.855,113,10,8.88818700000001,"robust","INDIANAPOLIS"
"3","Dolphins","Miami","DST","0503",93.8775,158,31,7.02752399999999,"robust","MIAMI"
"4","Patriots","New England","DST","0504",109.3335,110,9,1.23797099999999,"robust","NEW ENGLAND"
"5","Jets","New York","DST","0505",101.8065,137,23,5.82661799999999,"robust","NEW YORK"
"6","Bengals","Cincinnati","DST","0506",95.726,156,30,5.2246824,"robust","CINCINNATI"
"7","Browns","Cleveland","DST","0507",109.419,108,7,6.36924959999999,"robust","CLEVELAND"
"8","Titans","Tennessee","DST","0508",100.268,143,24,8.30256000000001,"robust","TENNESSEE"
"9","Jaguars","Jacksonville","DST","0509",106.0825,125,18,10.511634,"robust","JACKSONVILLE"
"10","Steelers","Pittsburgh","DST","0510",110.761,104,4,0.481845000000004,"robust","PITTSBURGH"
"11","Broncos","Denver","DST","0511",110.698,105,5,10.711785,"robust","DENVER"
"12","Chiefs","Kansas City","DST","0512",108.231,115,12,12.105429,"robust","KANSAS CITY"
"13","Raiders","Oakland","DST","0513",85.4975,184,32,1.4826,"robust","OAKLAND"
"14","Chargers","Los Angeles","DST","0514",105.853,128,20,5.26619520000001,"robust","LOS ANGELES"
"15","Seahawks","Seattle","DST","0515",102.7075,133,21,14.922369,"robust","SEATTLE"
"16","Cowboys","Dallas","DST","0516",102.32,135,22,1.897728,"robust","DALLAS"
"17","Giants","New York","DST","0517",97.252,151,28,2.28765180000001,"robust","NEW YORK"
"18","Eagles","Philadelphia","DST","0518",106.5365,124,17,2.0786052,"robust","PHILADELPHIA"
"19","Cardinals","Arizona","DST","0519",106.082,126,19,13.462008,"robust","ARIZONA"
"20","Redskins","Washington","DST","0520",106.8335,120,14,9.26625,"robust","WASHINGTON"
"21","Bears","Chicago","DST","0521",114.7405,93,2,5.95115640000001,"robust","CHICAGO"
"22","Lions","Detroit","DST","0522",100.043,144,25,2.201661,"robust","DETROIT"
"23","Packers","Green Bay","DST","0523",106.54,123,16,1.54190400000001,"robust","GREEN BAY"
"24","Vikings","Minnesota","DST","0524",109.3665,109,8,16.501338,"robust","MINNESOTA"
"25","Buccaneers","Tampa Bay","DST","0525",96.604,153,29,4.38256559999998,"robust","TAMPA BAY"
