"","name","points","pos","rd1","rd2","rd3","rd4","rd5","rd6","rd7","rd8","rd9","rd10","rd11","rd12","rd13","rd14"
"1","PATRICK MAHOMES",341.2263,2,0.00199106731538292,0.0114646391182578,0.17247398048164,0.791526716786646,0.892885480991687,1.00100052895993,1.00206679638982,1.00301091818535,1.00399107736679,1.00508233355886,1.00599168281631,1.0070962869233,1.00802752207109,"1.0091145463745"
"2","DESHAUN WATSON",309.757,2,9.98163337929949e-05,0.00595496790583229,0.0309741660473517,0.163202893501673,0.547518103241398,0.952439769155139,0.999141298363683,1.00117864257808,1.0013274668296,1.00156392845696,1.00176616642838,1.00186269508008,1.0020828123219,"1.00228725137682"
"3","AARON RODGERS",306.84775,2,0.000157005202475653,0.000497183141172901,0.000785026012378265,0.0287420658152235,0.29436630704868,0.937794847416967,0.995176070471152,1.00245275249275,1.00287413740607,1.00347041108159,1.00405111527745,1.00468414798289,1.00524179566603,"1.00597286857293"
"4","ANDREW LUCK",298.2483,2,0.000106601146393812,0.00169943164223925,0.0322753334367628,0.145796818778629,0.495586806552362,0.941999694831886,0.993058402467028,1.00125605052948,1.00184029311174,1.0017467165741,1.00195770283431,1.00214541265521,1.00244090696646,"1.00266249223887"
"5","CAM NEWTON",295.56895,2,7.13657615344275e-05,0.000225991578192354,0.000484073002944754,0.0133262922565776,0.0400947646250213,0.137595768212734,0.363233331149227,0.658764313365886,0.870099365623186,0.945305291959044,0.984511334489264,0.99358682267855,1.00048929874193,"1.00132080394457"
"6","MATT RYAN",294.1487,2,8.22834041203464e-05,0.000260564113047764,0.000411417020601732,0.00668594776155897,0.0459577960523444,0.383985115934484,0.698523039550591,0.850879952151316,0.929551668441847,0.971812900041841,0.991422213439419,1.00070341396205,1.00144509206628,"1.00154924568003"
"7","DREW BREES",284.8785,2,5.071873749284e-05,0.000160609335393993,0.0002535936874642,0.00230177036610274,0.0195353914398668,0.128087000258632,0.292102587401269,0.528141925216713,0.768526433289465,0.876722243934006,0.952151262448671,0.971702393189185,0.984199744880273,"0.997151520165531"
"8","CARSON WENTZ",278.7177,2,9.10409646463417e-05,0.000288296388046749,0.000455204823231708,0.00110051012632588,0.0151249172852367,0.140291315123153,0.362051483960994,0.611388746729967,0.790932212935652,0.919340596960293,0.972900858408488,0.983090301220087,0.988903175750523,"0.990806251520519"
"9","BEN ROETHLISBERGER",278.51445,2,6.24174920787771e-05,0.000197655391582794,0.000312087460393885,0.000447325359897902,0.000721240991684585,0.0149244239373246,0.0549443473281507,0.152533839900239,0.415246920143963,0.70382150637121,0.911181174071221,0.953715810657739,0.976088610111527,"0.993766275822183"
"10","RUSSELL WILSON",277.8394,2,3.86420021422338e-05,0.000209907759451804,0.00267588240997753,0.0140325198368583,0.0512277290490906,0.2615785752045,0.514331350698813,0.70035372765039,0.811641925174135,0.904753310117309,0.964558872682938,0.982185227650356,0.989794928707083,"0.998364074697138"
"11","BAKER MAYFIELD",277.637,2,0.000174951519267994,0.000554013144348648,0.00087475759633997,0.00132803862713518,0.0414304801177725,0.513504896325913,0.791123146429666,0.929638626886453,0.985713530574648,0.991823398240115,1.00136563665041,1.00223909487168,1.00236535558773,"1.00261912356574"
